date,close,open,high,low,volume
1993-05-18,1130.26,1140.04,1148.34,1128.75,0.0
1993-05-19,1147.22,1129.1,1147.22,1127.43,0.0
1993-05-20,1165.4,1148.56,1175.2,1148.56,0.0
1993-05-21,1143.97,1177.3,1178.54,1133.2,0.0
1993-05-24,1026.13,1143.15,1143.15,1026.13,0.0
1993-05-25,997.95,1020.32,1020.32,965.29,0.0
1993-05-26,995.45,1003.89,1008.55,992.94,0.0
1993-05-27,963.61,1001.19,1001.63,942.21,0.0
1993-05-28,972.77,962.21,980.96,959.25,0.0
1993-05-31,935.48,975.05,980.03,930.64,0.0
1993-06-01,928.58,935.9,935.9,859.48,0.0
1993-06-02,1081.2,958.61,1081.2,904.32,0.0
1993-06-03,1018.29,1102.08,1177.91,961.32,0.0
1993-06-04,1004.3,1024.74,1031.03,981.89,0.0
1993-06-07,1064.98,1006.26,1068.84,982.03,0.0
1993-06-08,1074.58,1094.11,1101.69,1054.31,0.0
1993-06-09,1065.19,1071.33,1081.18,1053.32,0.0
1993-06-10,1044.44,1069.36,1070.06,1040.38,0.0
1993-06-11,1047.0,1043.94,1052.56,1024.2,0.0
1993-06-14,1000.43,1046.07,1046.07,990.16,0.0
1993-06-15,1001.61,998.7,1002.96,981.84,0.0
1993-06-16,1004.24,1004.4,1013.81,997.33,0.0
1993-06-17,998.0,998.21,1016.23,998.0,0.0
1993-06-18,1005.98,994.2,1007.25,989.21,0.0
1993-06-21,977.61,1003.98,1003.98,967.74,0.0
1993-06-22,981.13,972.1,987.07,971.63,0.0
1993-06-23,986.02,981.4,991.21,980.53,0.0
1993-06-24,980.17,985.62,993.8,974.17,0.0
1993-06-25,1006.64,979.93,1041.22,979.93,0.0
1993-06-28,1002.42,1006.63,1010.52,983.97,0.0
1993-06-29,1028.44,1008.23,1037.49,1002.61,0.0
1993-06-30,1007.05,1037.89,1043.05,1003.86,0.0
1993-07-01,997.53,1000.8,1009.89,980.05,0.0
1993-07-02,986.98,995.7,1002.87,986.98,0.0
1993-07-05,952.31,976.67,980.92,946.87,0.0
1993-07-06,897.64,938.42,938.42,895.69,0.0
1993-07-07,903.79,897.22,909.93,869.65,0.0
1993-07-08,896.16,904.46,909.11,895.62,0.0
1993-07-09,868.57,896.16,896.24,865.31,0.0
1993-07-12,845.52,855.5,855.5,828.55,0.0
1993-07-13,870.05,853.66,870.05,853.66,0.0
1993-07-14,836.39,870.05,870.05,833.08,0.0
1993-07-15,838.7,833.89,847.3,830.61,0.0
1993-07-16,846.87,841.62,849.66,839.28,0.0
1993-07-19,836.98,848.1,848.1,836.7,0.0
1993-07-20,808.2,834.08,836.85,803.34,0.0
1993-07-21,811.7,809.66,820.24,808.37,0.0
1993-07-22,815.53,812.1,815.53,804.1,0.0
1993-07-23,813.54,816.08,818.55,811.47,0.0
1993-07-26,787.81,810.07,810.07,787.8,0.0
1993-07-27,791.62,786.19,798.85,777.73,0.0
1993-07-28,798.33,792.88,818.06,791.23,0.0
1993-07-29,806.67,801.16,810.63,801.16,0.0
1993-07-30,881.07,810.09,901.12,810.09,0.0
1993-08-02,843.27,894.9,913.15,842.35,0.0
1993-08-03,832.72,842.29,853.35,830.67,0.0
1993-08-04,850.54,833.4,855.86,823.0,0.0
1993-08-05,849.3,853.71,863.94,842.72,0.0
1993-08-06,855.52,841.39,860.73,841.39,0.0
1993-08-09,885.27,866.65,887.45,861.34,0.0
1993-08-10,862.08,897.46,911.77,861.19,0.0
1993-08-11,883.02,862.4,883.02,861.78,0.0
1993-08-12,917.04,896.74,917.96,893.51,0.0
1993-08-13,947.26,929.42,947.78,922.4,0.0
1993-08-16,1023.87,969.9,1023.87,967.35,0.0
1993-08-17,974.11,1042.42,1042.47,973.48,0.0
1993-08-18,947.93,974.11,988.14,947.93,0.0
1993-08-19,968.51,944.58,980.43,944.47,0.0
1993-08-20,946.54,973.0,977.39,937.99,0.0
1993-08-23,893.23,933.72,937.3,888.68,0.0
1993-08-24,894.44,878.09,902.3,873.13,0.0
1993-08-25,911.4,904.74,921.21,904.74,0.0
1993-08-26,903.91,913.27,914.15,896.0,0.0
1993-08-27,894.59,903.47,903.77,886.3,0.0
1993-08-30,899.27,901.09,911.18,884.51,0.0
1993-08-31,895.68,895.76,909.72,893.99,0.0
1993-09-01,893.99,898.01,900.04,891.66,0.0
1993-09-02,901.39,894.27,901.39,893.0,0.0
1993-09-03,922.7,907.89,926.11,905.71,0.0
1993-09-06,947.53,940.46,947.53,933.74,0.0
1993-09-07,909.04,947.12,947.12,908.29,0.0
1993-09-08,909.13,907.98,918.26,896.56,0.0
1993-09-09,901.66,911.95,914.79,900.82,0.0
1993-09-10,903.56,887.83,908.91,887.65,0.0
1993-09-13,879.24,895.62,895.62,873.55,0.0
1993-09-14,876.62,875.14,879.93,865.61,0.0
1993-09-15,880.78,876.38,903.24,876.25,0.0
1993-09-16,875.08,885.02,885.79,874.35,0.0
1993-09-17,881.41,874.51,883.17,868.74,0.0
1993-09-20,875.0,875.97,878.23,865.74,0.0
1993-09-21,890.23,875.13,896.68,875.13,0.0
1993-09-22,881.24,891.05,892.32,881.04,0.0
1993-09-23,884.02,882.68,888.82,882.68,0.0
1993-09-24,875.81,873.16,915.06,864.38,0.0
1993-09-27,880.98,876.61,884.3,876.39,0.0
1993-09-28,898.15,886.11,898.15,883.92,0.0
1993-09-29,886.12,904.76,909.84,885.46,0.0
1993-09-30,890.27,887.13,896.58,883.55,0.0
1993-10-04,892.55,895.69,901.37,891.33,0.0
1993-10-05,885.86,894.37,896.0,885.04,0.0
1993-10-06,885.04,886.33,891.13,879.42,0.0
1993-10-07,887.62,887.0,934.4,880.99,0.0
1993-10-08,874.76,897.72,898.9,874.28,0.0
1993-10-11,868.38,873.94,879.61,866.89,0.0
1993-10-12,871.42,868.48,875.62,866.85,0.0
1993-10-13,859.7,874.36,879.29,854.79,0.0
1993-10-14,855.04,858.33,859.48,848.53,0.0
1993-10-15,856.92,855.67,862.54,854.97,0.0
1993-10-18,835.25,848.13,850.61,835.25,0.0
1993-10-19,839.6,839.2,846.39,836.77,0.0
1993-10-20,843.85,843.58,846.78,837.97,0.0
1993-10-21,832.25,846.25,846.43,831.87,0.0
1993-10-22,818.81,827.75,844.5,818.81,0.0
1993-10-25,784.97,792.78,797.48,774.54,0.0
1993-10-26,783.23,789.25,792.43,781.13,0.0
1993-10-27,778.33,787.79,789.41,776.41,0.0
1993-10-28,824.66,779.64,829.1,778.27,0.0
1993-10-29,814.74,834.51,834.79,809.8,0.0
1993-11-01,816.71,801.86,823.25,801.86,0.0
1993-11-02,812.67,821.85,824.49,810.81,0.0
1993-11-03,805.71,812.63,814.74,804.73,0.0
1993-11-04,804.26,804.66,806.66,793.32,0.0
1993-11-05,814.39,804.26,816.4,803.03,0.0
1993-11-08,836.99,833.26,836.99,819.09,0.0
1993-11-09,846.15,840.89,846.15,834.75,0.0
1993-11-10,833.17,848.45,856.77,828.66,0.0
1993-11-11,848.27,836.55,851.44,836.55,0.0
1993-11-12,865.97,858.2,868.91,858.2,0.0
