,up_dt,up_price,down_dt,down_price,highest,weeks,rise_rate%,down_up%,id
1262,2020-01-17,36.66,2020-06-05,37.09,46.0,19,36.46,1.17,002197
1263,2015-04-10,59.38,2015-07-17,53.88,102.98,14,75.34,-9.26,002198
1264,2014-09-19,29.75,2014-11-07,29.32,30.52,7,4.63,-1.45,002200
1265,2015-12-04,38.75,2016-05-27,31.08,48.18,24,28.51,-19.79,002200
1266,2019-11-22,12.45,2020-05-15,10.94,13.12,24,8.7,-12.13,002200
1267,2011-11-04,25.58,2011-12-16,18.18,24.66,6,0.0,-28.93,002201
1268,2016-06-03,36.11,2016-07-22,42.43,43.75,7,19.83,17.5,002201
1269,2016-08-05,41.15,2017-02-10,51.34,68.31,26,69.17,24.76,002201
1270,2015-12-18,100.19,2016-03-11,72.02,112.02,11,0.0,-28.12,002202
1271,2017-10-20,94.73,2018-07-13,83.37,120.82,38,27.54,-11.99,002202
1272,2017-07-28,35.17,2017-12-01,30.41,34.59,17,1.14,-13.53,002203
1273,2018-03-16,36.03,2018-06-15,32.64,36.46,13,11.19,-9.41,002203
1274,2019-04-12,35.83,2020-03-13,35.45,44.8,47,17.37,-1.06,002203
1275,2020-05-15,40.99,2020-11-13,30.9,44.27,26,16.13,-24.62,002204
1276,2015-11-13,37.8,2016-03-11,24.18,50.15,16,31.15,-36.03,002205
1277,2014-01-24,21.75,2014-04-04,21.96,25.17,10,13.69,0.97,002206
1278,2016-04-22,48.63,2016-08-19,56.13,59.01,17,20.23,15.42,002206
1279,2015-11-27,35.9,2017-02-03,34.96,53.06,16,29.1,-2.62,002207
1280,2013-01-04,21.94,2013-04-12,19.45,22.48,13,3.17,-11.35,002208
1281,2013-11-22,21.04,2014-03-14,19.84,22.6,16,9.92,-5.7,002208
1282,2015-11-13,58.69,2016-03-25,63.61,77.86,18,31.79,8.38,002208
1283,2016-04-01,76.63,2016-07-01,58.81,87.49,13,15.21,-23.25,002208
1284,2018-04-04,52.0,2018-05-04,45.61,51.4,4,0.0,-12.29,002208
1285,2019-04-04,46.99,2019-06-21,42.3,45.49,11,2.71,-9.98,002208
1286,2021-06-04,10.62,2021-10-15,9.98,11.58,19,7.32,-6.03,002209
1287,2016-06-08,97.06,2016-09-30,94.11,113.61,16,15.07,-3.04,002210
1288,2016-10-14,101.64,2016-12-30,106.83,106.83,11,6.67,5.11,002210
1289,2017-08-18,114.5,2018-09-28,57.83,134.09,30,18.92,-49.49,002210
1290,2016-04-22,33.27,2017-06-23,40.86,58.8,45,65.26,22.81,002212
1291,2017-10-27,57.92,2018-04-27,46.49,69.29,16,6.95,-19.73,002212
1292,2015-03-20,29.92,2015-09-30,24.65,47.66,25,49.59,-17.61,002213
1293,2015-11-13,36.43,2017-05-26,45.73,56.81,77,55.09,25.53,002213
1294,2015-12-11,53.54,2016-02-05,47.58,64.42,8,12.5,-11.13,002214
1295,2021-08-20,113.95,2021-10-29,92.97,123.21,10,6.69,-18.41,002214
1296,2016-11-25,80.34,2017-01-26,82.9,99.62,9,24.62,3.19,002216
1297,2013-11-15,15.83,2016-02-26,32.82,75.98,96,368.72,107.33,002217
1298,2018-04-20,58.31,2018-06-22,44.11,58.31,9,7.46,-24.35,002217
1299,2020-02-21,39.15,2020-04-17,32.67,41.04,8,2.57,-16.55,002217
1300,2015-03-20,32.26,2015-08-21,27.29,48.13,22,37.16,-15.41,002218
1301,2020-03-06,20.38,2020-05-15,20.43,20.43,10,3.81,0.25,002218
1302,2012-03-23,66.69,2012-07-06,63.76,67.29,15,11.39,-4.39,002219
1303,2013-01-18,63.3,2017-01-20,198.61,287.84,151,362.77,213.76,002219
1304,2013-10-25,42.69,2013-11-15,42.41,42.75,3,2.42,-0.66,002220
1305,2014-09-15,45.49,2015-09-11,49.75,122.94,47,160.63,9.36,002220
1306,2015-12-18,78.93,2016-03-04,50.2,99.2,10,0.0,-36.4,002220
1307,2011-08-26,16.18,2011-09-16,14.32,14.99,3,0.0,-11.5,002222
1308,2014-07-04,13.55,2015-10-23,24.07,37.76,68,156.7,77.64,002222
1309,2015-11-13,30.67,2017-01-20,30.7,47.26,60,25.99,0.1,002222
1310,2017-03-31,38.32,2017-06-09,35.89,38.84,10,0.0,-6.34,002222
1311,2018-05-04,38.41,2018-05-18,38.57,41.2,2,0.0,0.42,002222
1312,2019-12-27,29.55,2020-04-10,26.2,32.34,14,5.76,-11.34,002222
1313,2011-08-05,116.2,2011-10-21,93.42,112.85,10,0.0,-19.6,002223
1314,2015-11-06,237.0,2016-01-22,163.64,238.15,11,0.0,-30.95,002223
1315,2017-04-21,188.13,2017-08-04,164.41,201.47,15,5.98,-12.61,002223
1316,2018-03-09,193.57,2018-06-22,180.22,208.8,15,13.88,-6.9,002223
1317,2019-02-15,183.43,2019-11-29,169.76,221.24,41,19.27,-7.45,002223
1318,2020-02-21,253.53,2020-12-18,241.34,340.18,43,15.33,-4.81,002223
1319,2014-08-15,44.95,2016-11-04,115.58,161.2,93,266.53,157.13,002224
1320,2019-10-25,42.91,2019-12-13,40.77,44.59,7,3.92,-4.99,002224
1321,2020-01-17,47.7,2020-05-15,45.83,56.52,16,18.32,-3.92,002224
1322,2016-03-25,90.07,2016-09-09,78.53,86.09,24,0.0,-12.81,002226
1323,2019-03-29,60.9,2019-04-26,58.09,62.62,4,0.0,-4.61,002226
1324,2015-10-30,78.52,2016-03-11,60.22,97.34,18,31.08,-23.31,002227
1325,2020-03-13,36.14,2020-06-12,27.54,34.52,13,14.99,-23.8,002227
1326,2021-06-04,34.62,2022-02-11,30.84,38.92,35,15.42,-10.92,002227
1327,2019-03-15,48.48,2019-06-28,46.01,55.12,15,8.91,-5.09,002228
1328,2015-03-20,91.85,2015-08-28,51.47,141.98,22,51.66,-43.96,002229
1329,2015-12-11,91.94,2016-02-19,69.33,102.12,9,0.0,-24.59,002229
1330,2016-05-20,84.45,2016-06-17,84.51,92.69,4,0.46,0.07,002229
1331,2020-02-28,44.38,2020-04-03,33.53,39.73,5,0.0,-24.45,002229
1332,2012-09-14,97.71,2014-05-09,142.13,207.03,84,117.51,45.46,002230
1333,2015-03-06,30.58,2016-06-17,40.99,104.62,47,213.8,34.04,002231
1334,2020-03-13,29.56,2020-05-08,21.4,25.9,8,2.61,-27.6,002231
1335,2015-12-04,49.91,2016-02-05,37.9,66.82,9,24.34,-24.06,002232
1336,2021-07-23,39.23,2021-09-03,33.92,36.36,6,4.33,-13.54,002232
1337,2015-12-11,26.87,2016-02-19,19.91,32.85,9,8.31,-25.9,002233
1338,2016-12-09,21.51,2017-02-17,23.51,25.57,10,22.4,9.3,002233
1339,2018-08-31,28.19,2018-09-28,27.45,28.39,4,0.0,-2.63,002233
1340,2019-03-15,28.29,2019-08-09,24.93,30.25,21,5.44,-11.88,002233
1341,2014-08-22,21.32,2014-10-10,21.74,21.74,7,4.32,1.97,002234
1342,2015-11-20,29.44,2017-01-06,43.86,67.52,57,100.0,48.98,002234
1343,2011-09-09,29.04,2011-12-23,20.46,31.12,14,10.35,-29.55,002235
1344,2020-08-14,43.74,2020-09-30,32.42,48.87,7,5.3,-25.88,002235
1345,2021-09-17,1000.11,2022-01-28,805.71,1072.91,19,6.72,-19.44,002236
1346,2014-09-12,18.38,2016-03-11,23.99,50.15,58,159.84,30.52,002238
1347,2016-05-06,29.99,2016-05-27,26.61,26.72,3,3.21,-11.27,002238
1348,2020-02-14,18.32,2020-03-27,17.27,20.19,6,0.0,-5.73,002238
1349,2020-04-24,22.07,2021-02-10,19.6,24.54,42,16.25,-11.19,002238
1350,2022-01-21,22.67,2022-02-18,21.57,21.57,3,6.57,-4.85,002238
1351,2013-10-25,20.4,2014-04-04,16.14,20.82,21,10.33,-20.88,002239
1352,2014-12-26,22.52,2017-04-28,39.12,58.05,72,184.84,73.71,002239
1353,2013-03-29,8.44,2015-02-06,25.83,44.9,64,436.44,206.04,002240
1354,2017-07-21,21.8,2018-06-22,20.08,29.67,47,30.19,-7.89,002240
